workerid, condition, stimulus, response
A2CK0OXMPOR9LE,  1, 107, 5
A2CK0OXMPOR9LE,  1, 26, 2
A2CK0OXMPOR9LE,  1, 47, 2
A2CK0OXMPOR9LE,  1, 68, 3
A2CK0OXMPOR9LE,  1, 58, 4
A2CK0OXMPOR9LE,  1, 62, 3
A2CK0OXMPOR9LE,  1, 74, 3
A2CK0OXMPOR9LE,  1, 80, 2
A2CK0OXMPOR9LE,  1, 22, 5
A2CK0OXMPOR9LE,  1, 93, 4
A2CK0OXMPOR9LE,  1, 67, 5
A2CK0OXMPOR9LE,  1, 34, 5
A2CK0OXMPOR9LE,  1, 85, 3
A2CK0OXMPOR9LE,  1, 71, 4
A2CK0OXMPOR9LE,  1, 43, 2
A2CK0OXMPOR9LE,  1, 16, 3
A2CK0OXMPOR9LE,  1, 82, 1
A2CK0OXMPOR9LE,  1, 46, 1
A2CK0OXMPOR9LE,  1, 75, 3
A2CK0OXMPOR9LE,  1, 45, 4
A2CK0OXMPOR9LE,  1, 1, 3
A2CK0OXMPOR9LE,  1, 89, 4
A2CK0OXMPOR9LE,  1, 35, 5
A2CK0OXMPOR9LE,  1, 33, 4
A2CK0OXMPOR9LE,  1, 17, 5
A2CK0OXMPOR9LE,  1, 7, 5
A2CK0OXMPOR9LE,  1, 24, 2
A2CK0OXMPOR9LE,  1, 48, 3
A2CK0OXMPOR9LE,  1, 20, 4
A2CK0OXMPOR9LE,  1, 106, 4
A2CK0OXMPOR9LE,  1, 21, 5
A2CK0OXMPOR9LE,  1, 2, 4
A2CK0OXMPOR9LE,  1, 14, 3
A2CK0OXMPOR9LE,  1, 73, 4
A2CK0OXMPOR9LE,  1, 27, 3
A2CK0OXMPOR9LE,  1, 84, 2
A2CK0OXMPOR9LE,  1, 64, 3
A2CK0OXMPOR9LE,  1, 13, 4
A2CK0OXMPOR9LE,  1, 18, 3
A2CK0OXMPOR9LE,  1, 6, 3
A2CK0OXMPOR9LE,  1, 57, 4
A2CK0OXMPOR9LE,  1, 39, 4
A2CK0OXMPOR9LE,  1, 86, 3
A2CK0OXMPOR9LE,  1, 99, 5
A2CK0OXMPOR9LE,  1, 52, 1
A2CK0OXMPOR9LE,  1, 37, 3
A2CK0OXMPOR9LE,  1, 66, 4
A2CK0OXMPOR9LE,  1, 87, 3
A2CK0OXMPOR9LE,  1, 31, 5
A2CK0OXMPOR9LE,  1, 69, 4
A2CK0OXMPOR9LE,  1, 94, 3
A2CK0OXMPOR9LE,  1, 92, 5
A2CK0OXMPOR9LE,  1, 54, 4
ASWZO1WY1UHEP,  1, 90, 2
ASWZO1WY1UHEP,  1, 2, 5
ASWZO1WY1UHEP,  1, 7, 7
ASWZO1WY1UHEP,  1, 67, 6
ASWZO1WY1UHEP,  1, 4, 5
ASWZO1WY1UHEP,  1, 84, 6
ASWZO1WY1UHEP,  1, 10, 7
ASWZO1WY1UHEP,  1, 106, 2
ASWZO1WY1UHEP,  1, 83, 3
ASWZO1WY1UHEP,  1, 9, 2
ASWZO1WY1UHEP,  1, 85, 4
ASWZO1WY1UHEP,  1, 65, 4
ASWZO1WY1UHEP,  1, 95, 1
ASWZO1WY1UHEP,  1, 68, 5
ASWZO1WY1UHEP,  1, 108, 3
ASWZO1WY1UHEP,  1, 82, 6
ASWZO1WY1UHEP,  1, 72, 6
ASWZO1WY1UHEP,  1, 99, 2
ASWZO1WY1UHEP,  1, 43, 4
ASWZO1WY1UHEP,  1, 23, 4
ASWZO1WY1UHEP,  1, 49, 1
ASWZO1WY1UHEP,  1, 21, 3
ASWZO1WY1UHEP,  1, 39, 5
ASWZO1WY1UHEP,  1, 89, 5
ASWZO1WY1UHEP,  1, 80, 2
ASWZO1WY1UHEP,  1, 92, 2
ASWZO1WY1UHEP,  1, 51, 6
ASWZO1WY1UHEP,  1, 100, 1
ASWZO1WY1UHEP,  1, 62, 2
ASWZO1WY1UHEP,  1, 60, 7
ASWZO1WY1UHEP,  1, 86, 6
ASWZO1WY1UHEP,  1, 36, 5
ASWZO1WY1UHEP,  1, 97, 4
ASWZO1WY1UHEP,  1, 47, 4
ASWZO1WY1UHEP,  1, 11, 7
ASWZO1WY1UHEP,  1, 66, 5
ASWZO1WY1UHEP,  1, 41, 2
ASWZO1WY1UHEP,  1, 55, 5
ASWZO1WY1UHEP,  1, 57, 7
ASWZO1WY1UHEP,  1, 29, 4
ASWZO1WY1UHEP,  1, 93, 5
ASWZO1WY1UHEP,  1, 5, 2
ASWZO1WY1UHEP,  1, 69, 3
ASWZO1WY1UHEP,  1, 28, 7
ASWZO1WY1UHEP,  1, 45, 7
ASWZO1WY1UHEP,  1, 87, 5
ASWZO1WY1UHEP,  1, 12, 7
ASWZO1WY1UHEP,  1, 104, 6
ASWZO1WY1UHEP,  1, 73, 5
ASWZO1WY1UHEP,  1, 15, 2
ASWZO1WY1UHEP,  1, 79, 2
ASWZO1WY1UHEP,  1, 38, 3
ASWZO1WY1UHEP,  1, 30, 3
ASWZO1WY1UHEP,  1, 63, 1
ASWZO1WY1UHEP,  1, 24, 5
ASWZO1WY1UHEP,  1, 77, 5
ASWZO1WY1UHEP,  1, 107, 4
ASWZO1WY1UHEP,  1, 35, 3
ASWZO1WY1UHEP,  1, 3, 3
ASWZO1WY1UHEP,  1, 102, 4
ASWZO1WY1UHEP,  1, 25, 4
ASWZO1WY1UHEP,  1, 1, 4
ASWZO1WY1UHEP,  1, 20, 2
ASWZO1WY1UHEP,  1, 27, 6
ASWZO1WY1UHEP,  1, 74, 5
ASWZO1WY1UHEP,  1, 56, 3
ASWZO1WY1UHEP,  1, 26, 6
ASWZO1WY1UHEP,  1, 13, 6
ASWZO1WY1UHEP,  1, 59, 7
ASWZO1WY1UHEP,  1, 71, 5
ASWZO1WY1UHEP,  1, 88, 4
ASWZO1WY1UHEP,  1, 8, 6
ASWZO1WY1UHEP,  1, 64, 1
ASWZO1WY1UHEP,  1, 48, 3
ASWZO1WY1UHEP,  1, 16, 2
ASWZO1WY1UHEP,  1, 17, 5
ASWZO1WY1UHEP,  1, 61, 1
ASWZO1WY1UHEP,  1, 91, 2
ASWZO1WY1UHEP,  1, 46, 5
ASWZO1WY1UHEP,  1, 105, 2
ASWZO1WY1UHEP,  1, 54, 5
ASWZO1WY1UHEP,  1, 32, 2
ASWZO1WY1UHEP,  1, 70, 2
ASWZO1WY1UHEP,  1, 22, 2
ASWZO1WY1UHEP,  1, 101, 1
ASWZO1WY1UHEP,  1, 53, 3
ASWZO1WY1UHEP,  1, 98, 5
ASWZO1WY1UHEP,  1, 76, 5
ASWZO1WY1UHEP,  1, 6, 4
ASWZO1WY1UHEP,  1, 103, 3
ASWZO1WY1UHEP,  1, 50, 3
ASWZO1WY1UHEP,  1, 94, 3
ASWZO1WY1UHEP,  1, 33, 4
ASWZO1WY1UHEP,  1, 40, 2
ASWZO1WY1UHEP,  1, 58, 6
ASWZO1WY1UHEP,  1, 37, 2
ASWZO1WY1UHEP,  1, 14, 2
ASWZO1WY1UHEP,  1, 78, 2
ASWZO1WY1UHEP,  1, 19, 1
ASWZO1WY1UHEP,  1, 75, 4
ASWZO1WY1UHEP,  1, 18, 5
ASWZO1WY1UHEP,  1, 44, 3
ASWZO1WY1UHEP,  1, 34, 3
ASWZO1WY1UHEP,  1, 52, 5
ASWZO1WY1UHEP,  1, 81, 5
ASWZO1WY1UHEP,  1, 31, 3
ASWZO1WY1UHEP,  1, 96, 3
ASWZO1WY1UHEP,  1, 42, 1
A1W0QJDQPFMLKF,  1, 87, 7
A1W0QJDQPFMLKF,  1, 69, 7
A1W0QJDQPFMLKF,  1, 37, 7
A1W0QJDQPFMLKF,  1, 5, 7
A1W0QJDQPFMLKF,  1, 88, 7
A1W0QJDQPFMLKF,  1, 56, 7
A1W0QJDQPFMLKF,  1, 66, 7
A1W0QJDQPFMLKF,  1, 55, 6
A1W0QJDQPFMLKF,  1, 47, 5
A1W0QJDQPFMLKF,  1, 19, 6
A1W0QJDQPFMLKF,  1, 29, 5
A1W0QJDQPFMLKF,  1, 70, 5
A1W0QJDQPFMLKF,  1, 102, 5
A1W0QJDQPFMLKF,  1, 25, 5
A1W0QJDQPFMLKF,  1, 60, 7
A1W0QJDQPFMLKF,  1, 11, 5
A1W0QJDQPFMLKF,  1, 45, 7
A1W0QJDQPFMLKF,  1, 81, 6
A1W0QJDQPFMLKF,  1, 94, 5
A1W0QJDQPFMLKF,  1, 67, 5
A1W0QJDQPFMLKF,  1, 43, 3
A1W0QJDQPFMLKF,  1, 16, 2
A1W0QJDQPFMLKF,  1, 99, 1
A1W0QJDQPFMLKF,  1, 35, 2
A1W0QJDQPFMLKF,  1, 7, 6
A1W0QJDQPFMLKF,  1, 98, 3
A1W0QJDQPFMLKF,  1, 85, 4
A1W0QJDQPFMLKF,  1, 106, 3
A1W0QJDQPFMLKF,  1, 15, 2
A1W0QJDQPFMLKF,  1, 44, 3
A1W0QJDQPFMLKF,  1, 33, 3
A1W0QJDQPFMLKF,  1, 71, 5
A1W0QJDQPFMLKF,  1, 40, 5
A1W0QJDQPFMLKF,  1, 75, 5
A1W0QJDQPFMLKF,  1, 6, 4
A1W0QJDQPFMLKF,  1, 84, 4
A1W0QJDQPFMLKF,  1, 22, 5
A1W0QJDQPFMLKF,  1, 28, 6
A1W0QJDQPFMLKF,  1, 63, 1
A1W0QJDQPFMLKF,  1, 92, 2
A1W0QJDQPFMLKF,  1, 90, 5
A1W0QJDQPFMLKF,  1, 21, 4
A1W0QJDQPFMLKF,  1, 61, 3
A1W0QJDQPFMLKF,  1, 27, 6
A1W0QJDQPFMLKF,  1, 57, 5
A1W0QJDQPFMLKF,  1, 52, 6
A1W0QJDQPFMLKF,  1, 76, 4
A1W0QJDQPFMLKF,  1, 10, 7
A1W0QJDQPFMLKF,  1, 18, 5
A1W0QJDQPFMLKF,  1, 108, 2
A1W0QJDQPFMLKF,  1, 51, 6
A1W0QJDQPFMLKF,  1, 41, 2
A1W0QJDQPFMLKF,  1, 17, 5
A1W0QJDQPFMLKF,  1, 23, 4
A1W0QJDQPFMLKF,  1, 68, 5
A1W0QJDQPFMLKF,  1, 96, 2
A1W0QJDQPFMLKF,  1, 103, 3
A1W0QJDQPFMLKF,  1, 13, 3
A1W0QJDQPFMLKF,  1, 91, 2
A1W0QJDQPFMLKF,  1, 12, 5
A1W0QJDQPFMLKF,  1, 36, 2
A1W0QJDQPFMLKF,  1, 101, 2
A1W0QJDQPFMLKF,  1, 8, 6
A1W0QJDQPFMLKF,  1, 107, 3
A1W0QJDQPFMLKF,  1, 64, 2
A1W0QJDQPFMLKF,  1, 26, 5
A1W0QJDQPFMLKF,  1, 50, 3
A1W0QJDQPFMLKF,  1, 74, 5
A1W0QJDQPFMLKF,  1, 46, 7
A1W0QJDQPFMLKF,  1, 59, 7
A1W0QJDQPFMLKF,  1, 24, 2
A1W0QJDQPFMLKF,  1, 77, 5
A1W0QJDQPFMLKF,  1, 105, 2
A1W0QJDQPFMLKF,  1, 97, 2
A1W0QJDQPFMLKF,  1, 62, 5
A1W0QJDQPFMLKF,  1, 104, 5
A1W0QJDQPFMLKF,  1, 31, 4
A1W0QJDQPFMLKF,  1, 4, 5
A1W0QJDQPFMLKF,  1, 93, 4
A1W0QJDQPFMLKF,  1, 39, 6
A1W0QJDQPFMLKF,  1, 32, 3
A1W0QJDQPFMLKF,  1, 78, 4
A1W0QJDQPFMLKF,  1, 65, 4
A1W0QJDQPFMLKF,  1, 82, 5
A1W0QJDQPFMLKF,  1, 58, 5
A1W0QJDQPFMLKF,  1, 14, 4
A1W0QJDQPFMLKF,  1, 38, 4
A1W0QJDQPFMLKF,  1, 83, 4
A1W0QJDQPFMLKF,  1, 48, 5
A1W0QJDQPFMLKF,  1, 49, 3
A1W0QJDQPFMLKF,  1, 3, 4
A1W0QJDQPFMLKF,  1, 79, 3
A1W0QJDQPFMLKF,  1, 30, 4
A1W0QJDQPFMLKF,  1, 72, 5
A1W0QJDQPFMLKF,  1, 34, 2
A1W0QJDQPFMLKF,  1, 95, 2
A1W0QJDQPFMLKF,  1, 9, 6
A1W0QJDQPFMLKF,  1, 80, 2
A1W0QJDQPFMLKF,  1, 86, 4
A1W0QJDQPFMLKF,  1, 2, 4
A1W0QJDQPFMLKF,  1, 73, 4
A1W0QJDQPFMLKF,  1, 100, 3
A1W0QJDQPFMLKF,  1, 42, 3
A1W0QJDQPFMLKF,  1, 53, 4
A1W0QJDQPFMLKF,  1, 20, 4
A1W0QJDQPFMLKF,  1, 89, 5
A1W0QJDQPFMLKF,  1, 1, 5
A1W0QJDQPFMLKF,  1, 54, 7
A3696JXTRKL2FI,  1, 32, 1
A3696JXTRKL2FI,  1, 88, 2
A3696JXTRKL2FI,  1, 90, 4
A3696JXTRKL2FI,  1, 103, 2
A3696JXTRKL2FI,  1, 99, 4
A3696JXTRKL2FI,  1, 78, 2
A3696JXTRKL2FI,  1, 25, 2
A3696JXTRKL2FI,  1, 57, 3
A3696JXTRKL2FI,  1, 11, 2
A3696JXTRKL2FI,  1, 46, 2
A3696JXTRKL2FI,  1, 47, 3
A3696JXTRKL2FI,  1, 27, 4
A3696JXTRKL2FI,  1, 69, 3
A3696JXTRKL2FI,  1, 41, 6
A3696JXTRKL2FI,  1, 13, 3
A3696JXTRKL2FI,  1, 66, 3
A3696JXTRKL2FI,  1, 89, 2
A3696JXTRKL2FI,  1, 4, 5
A3696JXTRKL2FI,  1, 62, 4
A3696JXTRKL2FI,  1, 36, 3
A3696JXTRKL2FI,  1, 58, 2
A3696JXTRKL2FI,  1, 68, 3
A3696JXTRKL2FI,  1, 48, 3
A3696JXTRKL2FI,  1, 16, 2
A3696JXTRKL2FI,  1, 64, 4
A3696JXTRKL2FI,  1, 26, 3
A3696JXTRKL2FI,  1, 38, 5
A3696JXTRKL2FI,  1, 79, 2
A3696JXTRKL2FI,  1, 86, 2
A3696JXTRKL2FI,  1, 81, 4
A3696JXTRKL2FI,  1, 55, 3
A3696JXTRKL2FI,  1, 91, 5
A3696JXTRKL2FI,  1, 31, 2
A3696JXTRKL2FI,  1, 7, 5
A3696JXTRKL2FI,  1, 45, 5
A3696JXTRKL2FI,  1, 60, 3
A3696JXTRKL2FI,  1, 50, 2
A3696JXTRKL2FI,  1, 42, 3
A3696JXTRKL2FI,  1, 18, 2
A3696JXTRKL2FI,  1, 92, 2
A3696JXTRKL2FI,  1, 33, 3
A3696JXTRKL2FI,  1, 80, 5
A3696JXTRKL2FI,  1, 40, 6
A3696JXTRKL2FI,  1, 53, 3
A3696JXTRKL2FI,  1, 84, 3
A3696JXTRKL2FI,  1, 71, 1
A3696JXTRKL2FI,  1, 100, 4
A3696JXTRKL2FI,  1, 51, 3
A3696JXTRKL2FI,  1, 59, 2
A3696JXTRKL2FI,  1, 44, 2
A3696JXTRKL2FI,  1, 95, 2
A3696JXTRKL2FI,  1, 96, 3
A3696JXTRKL2FI,  1, 29, 3
A3696JXTRKL2FI,  1, 54, 3
A3696JXTRKL2FI,  1, 21, 4
A3696JXTRKL2FI,  1, 8, 5
A3696JXTRKL2FI,  1, 17, 4
A3696JXTRKL2FI,  1, 63, 3
A3696JXTRKL2FI,  1, 106, 6
A3696JXTRKL2FI,  1, 70, 3
A3696JXTRKL2FI,  1, 39, 4
A3696JXTRKL2FI,  1, 3, 5
A3696JXTRKL2FI,  1, 12, 5
A3696JXTRKL2FI,  1, 56, 4
A3696JXTRKL2FI,  1, 5, 3
A3696JXTRKL2FI,  1, 1, 5
A3696JXTRKL2FI,  1, 30, 5
A3696JXTRKL2FI,  1, 37, 3
A3696JXTRKL2FI,  1, 2, 6
A3696JXTRKL2FI,  1, 108, 3
A3696JXTRKL2FI,  1, 10, 1
A3696JXTRKL2FI,  1, 61, 5
A3696JXTRKL2FI,  1, 72, 2
A3696JXTRKL2FI,  1, 73, 4
A3696JXTRKL2FI,  1, 19, 2
A3696JXTRKL2FI,  1, 9, 5
A3696JXTRKL2FI,  1, 77, 6
A3696JXTRKL2FI,  1, 74, 2
A3696JXTRKL2FI,  1, 94, 4
A3696JXTRKL2FI,  1, 98, 3
A3696JXTRKL2FI,  1, 107, 3
A3696JXTRKL2FI,  1, 67, 5
A3696JXTRKL2FI,  1, 93, 3
A3696JXTRKL2FI,  1, 6, 6
A3696JXTRKL2FI,  1, 24, 5
A3696JXTRKL2FI,  1, 87, 4
A3696JXTRKL2FI,  1, 76, 3
A3696JXTRKL2FI,  1, 35, 2
A3696JXTRKL2FI,  1, 82, 4
A3696JXTRKL2FI,  1, 97, 5
A3696JXTRKL2FI,  1, 22, 3
A3696JXTRKL2FI,  1, 104, 5
A3696JXTRKL2FI,  1, 49, 4
A3696JXTRKL2FI,  1, 85, 3
A3696JXTRKL2FI,  1, 101, 5
A3696JXTRKL2FI,  1, 14, 3
A3696JXTRKL2FI,  1, 20, 5
A3696JXTRKL2FI,  1, 102, 5
A3696JXTRKL2FI,  1, 75, 3
A3696JXTRKL2FI,  1, 83, 5
A3696JXTRKL2FI,  1, 34, 4
A3696JXTRKL2FI,  1, 65, 5
A3696JXTRKL2FI,  1, 43, 3
A3696JXTRKL2FI,  1, 23, 3
A3696JXTRKL2FI,  1, 28, 1
A3696JXTRKL2FI,  1, 15, 3
A3696JXTRKL2FI,  1, 52, 5
A3696JXTRKL2FI,  1, 105, 6
AZBH4LJ5SL456,  1, 96, 5
AZBH4LJ5SL456,  1, 55, 6
AZBH4LJ5SL456,  1, 27, 3
AZBH4LJ5SL456,  1, 18, 3
AZBH4LJ5SL456,  1, 104, 3
AZBH4LJ5SL456,  1, 67, 5
AZBH4LJ5SL456,  1, 45, 6
AZBH4LJ5SL456,  1, 83, 7
AZBH4LJ5SL456,  1, 65, 7
AZBH4LJ5SL456,  1, 79, 7
AZBH4LJ5SL456,  1, 6, 3
AZBH4LJ5SL456,  1, 26, 2
AZBH4LJ5SL456,  1, 93, 5
AZBH4LJ5SL456,  1, 90, 3
AZBH4LJ5SL456,  1, 8, 3
AZBH4LJ5SL456,  1, 64, 6
AZBH4LJ5SL456,  1, 44, 7
AZBH4LJ5SL456,  1, 75, 7
AZBH4LJ5SL456,  1, 100, 3
AZBH4LJ5SL456,  1, 50, 3
AZBH4LJ5SL456,  1, 47, 4
AZBH4LJ5SL456,  1, 60, 2
AZBH4LJ5SL456,  1, 69, 6
AZBH4LJ5SL456,  1, 82, 3
AZBH4LJ5SL456,  1, 4, 2
AZBH4LJ5SL456,  1, 56, 1
AZBH4LJ5SL456,  1, 89, 3
AZBH4LJ5SL456,  1, 12, 3
AZBH4LJ5SL456,  1, 31, 5
AZBH4LJ5SL456,  1, 11, 6
AZBH4LJ5SL456,  1, 15, 7
AZBH4LJ5SL456,  1, 68, 5
AZBH4LJ5SL456,  1, 92, 7
AZBH4LJ5SL456,  1, 36, 2
AZBH4LJ5SL456,  1, 84, 4
AZBH4LJ5SL456,  1, 103, 3
AZBH4LJ5SL456,  1, 59, 2
AZBH4LJ5SL456,  1, 98, 4
AZBH4LJ5SL456,  1, 34, 5
AZBH4LJ5SL456,  1, 52, 1
AZBH4LJ5SL456,  1, 14, 5
AZBH4LJ5SL456,  1, 53, 3
AZBH4LJ5SL456,  1, 49, 4
AZBH4LJ5SL456,  1, 106, 6
AZBH4LJ5SL456,  1, 70, 7
AZBH4LJ5SL456,  1, 99, 2
AZBH4LJ5SL456,  1, 29, 5
AZBH4LJ5SL456,  1, 23, 4
AZBH4LJ5SL456,  1, 46, 1
AZBH4LJ5SL456,  1, 87, 3
AZBH4LJ5SL456,  1, 37, 4
AZBH4LJ5SL456,  1, 105, 7
AZBH4LJ5SL456,  1, 22, 7
AZBH4LJ5SL456,  1, 72, 2
AZBH4LJ5SL456,  1, 1, 3
AZBH4LJ5SL456,  1, 108, 3
AZBH4LJ5SL456,  1, 77, 6
AZBH4LJ5SL456,  1, 7, 7
AZBH4LJ5SL456,  1, 61, 7
AZBH4LJ5SL456,  1, 35, 5
AZBH4LJ5SL456,  1, 63, 7
AZBH4LJ5SL456,  1, 16, 4
AZBH4LJ5SL456,  1, 85, 7
AZBH4LJ5SL456,  1, 102, 5
AZBH4LJ5SL456,  1, 101, 6
AZBH4LJ5SL456,  1, 88, 4
AZBH4LJ5SL456,  1, 38, 6
AZBH4LJ5SL456,  1, 71, 3
AZBH4LJ5SL456,  1, 21, 7
AZBH4LJ5SL456,  1, 24, 5
AZBH4LJ5SL456,  1, 58, 6
AZBH4LJ5SL456,  1, 78, 7
AZBH4LJ5SL456,  1, 97, 7
AZBH4LJ5SL456,  1, 94, 6
AZBH4LJ5SL456,  1, 80, 7
AZBH4LJ5SL456,  1, 19, 7
AZBH4LJ5SL456,  1, 30, 7
AZBH4LJ5SL456,  1, 17, 7
AZBH4LJ5SL456,  1, 25, 7
AZBH4LJ5SL456,  1, 3, 6
AZBH4LJ5SL456,  1, 73, 5
AZBH4LJ5SL456,  1, 62, 6
AZBH4LJ5SL456,  1, 66, 5
AZBH4LJ5SL456,  1, 10, 6
AZBH4LJ5SL456,  1, 74, 6
AZBH4LJ5SL456,  1, 86, 7
AZBH4LJ5SL456,  1, 42, 7
AZBH4LJ5SL456,  1, 81, 5
AZBH4LJ5SL456,  1, 54, 6
AZBH4LJ5SL456,  1, 95, 7
AZBH4LJ5SL456,  1, 40, 6
AZBH4LJ5SL456,  1, 107, 6
AZBH4LJ5SL456,  1, 20, 7
AZBH4LJ5SL456,  1, 91, 7
AZBH4LJ5SL456,  1, 41, 6
AZBH4LJ5SL456,  1, 9, 5
AZBH4LJ5SL456,  1, 33, 6
AZBH4LJ5SL456,  1, 2, 4
AZBH4LJ5SL456,  1, 76, 3
AZBH4LJ5SL456,  1, 51, 1
AZBH4LJ5SL456,  1, 13, 5
AZBH4LJ5SL456,  1, 57, 3
AZBH4LJ5SL456,  1, 32, 5
AZBH4LJ5SL456,  1, 39, 4
AZBH4LJ5SL456,  1, 28, 1
AZBH4LJ5SL456,  1, 5, 5
AZBH4LJ5SL456,  1, 43, 3
AZBH4LJ5SL456,  1, 48, 4
A3RUSZCTCN70EA,  1, 17, 3
A3RUSZCTCN70EA,  1, 13, 6
A3RUSZCTCN70EA,  1, 101, 5
A3RUSZCTCN70EA,  1, 49, 6
A3RUSZCTCN70EA,  1, 10, 2
A3RUSZCTCN70EA,  1, 6, 4
A3RUSZCTCN70EA,  1, 57, 6
A3RUSZCTCN70EA,  1, 107, 4
A3RUSZCTCN70EA,  1, 29, 6
A3RUSZCTCN70EA,  1, 7, 6
A3RUSZCTCN70EA,  1, 59, 2
A3RUSZCTCN70EA,  1, 94, 5
A3RUSZCTCN70EA,  1, 100, 6
A3RUSZCTCN70EA,  1, 86, 3
A3RUSZCTCN70EA,  1, 64, 7
A3RUSZCTCN70EA,  1, 44, 6
A3RUSZCTCN70EA,  1, 99, 6
A3RUSZCTCN70EA,  1, 69, 5
A3RUSZCTCN70EA,  1, 84, 4
A3RUSZCTCN70EA,  1, 8, 6
A3RUSZCTCN70EA,  1, 76, 5
A3RUSZCTCN70EA,  1, 97, 7
A3RUSZCTCN70EA,  1, 3, 6
A3RUSZCTCN70EA,  1, 31, 6
A3RUSZCTCN70EA,  1, 34, 6
A3RUSZCTCN70EA,  1, 50, 4
A3RUSZCTCN70EA,  1, 4, 3
A3RUSZCTCN70EA,  1, 46, 2
A3RUSZCTCN70EA,  1, 51, 1
A3RUSZCTCN70EA,  1, 11, 2
A3RUSZCTCN70EA,  1, 108, 2
A3RUSZCTCN70EA,  1, 16, 2
A3RUSZCTCN70EA,  1, 52, 3
A3RUSZCTCN70EA,  1, 2, 3
A3RUSZCTCN70EA,  1, 67, 4
A3RUSZCTCN70EA,  1, 80, 5
A3RUSZCTCN70EA,  1, 92, 2
A3RUSZCTCN70EA,  1, 27, 1
A3RUSZCTCN70EA,  1, 25, 3
A3RUSZCTCN70EA,  1, 85, 1
A3RUSZCTCN70EA,  1, 47, 4
A3RUSZCTCN70EA,  1, 38, 5
A3RUSZCTCN70EA,  1, 1, 2
A3RUSZCTCN70EA,  1, 39, 3
A3RUSZCTCN70EA,  1, 54, 2
A3RUSZCTCN70EA,  1, 19, 5
A3RUSZCTCN70EA,  1, 26, 1
A3RUSZCTCN70EA,  1, 61, 5
A3RUSZCTCN70EA,  1, 87, 3
A3RUSZCTCN70EA,  1, 33, 3
A3RUSZCTCN70EA,  1, 70, 3
A3RUSZCTCN70EA,  1, 18, 2
A3RUSZCTCN70EA,  1, 90, 2
A3RUSZCTCN70EA,  1, 48, 3
A3RUSZCTCN70EA,  1, 73, 4
A3RUSZCTCN70EA,  1, 12, 4
A3RUSZCTCN70EA,  1, 36, 4
A3RUSZCTCN70EA,  1, 98, 5
A3RUSZCTCN70EA,  1, 9, 5
A3RUSZCTCN70EA,  1, 58, 6
A3RUSZCTCN70EA,  1, 72, 1
A3RUSZCTCN70EA,  1, 60, 1
A3RUSZCTCN70EA,  1, 105, 5
A3RUSZCTCN70EA,  1, 71, 1
A3RUSZCTCN70EA,  1, 65, 5
A3RUSZCTCN70EA,  1, 77, 4
A3RUSZCTCN70EA,  1, 43, 6
